Key,English,Dutch
Start.Grow,Grow the Flow,Grow the Flow
Start.Today,About today,Over vandaag
Start.Duo,About friends,Over vrienden
Start.ETitle,What gives you energy?,Wat geeft je energie?
Start.TTitle,What do I feel like today?,Hoe voel je je vandaag?
Start.DTitle,How do I see,Hoe zie ik
Start.Friend,My friend's name is,Mijn vriend zijn naam is
Start.EnterName,Enter name...,Voer naam in...
Start.Question1,Question 1,Vraag 1
Start.Question2,Question 2,Vraag 2
Start.Question3,Question 3,Vraag 3
Start.QuestionSelf,Input question,Vraag kiezen